idx,crop_time,num_crop,early_exit,num_selected_crop,s1_time,s1_tflops,s1_hit,s2_time,s2_tflops,s2_hit,total_time,total_flops_gflops,acc_uptonow,filename,instruction
162,0.125,2,☑️,0,0.270,3.91,✅,0.000,0.00,✅,0.395,3.91,88.27,mobile_dc3bbcd3-d7bb-4ce2-be50-eb6f564d2ddc,"open the folder named ""dcim"""
163,0.126,2,☑️,0,0.269,3.88,✅,0.000,0.00,✅,0.395,3.88,88.34,mobile_dc3bbcd3-d7bb-4ce2-be50-eb6f564d2ddc,search in this page
164,0.178,4,☑️,0,0.279,3.90,✅,0.000,0.00,✅,0.457,3.90,88.41,mobile_74f38270-ccc5-423e-813e-b7f1ac6ff665,display all videos
165,0.109,4,🫥,1,0.282,3.90,✅,0.299,3.59,❌,0.690,7.49,87.88,mobile_74f38270-ccc5-423e-813e-b7f1ac6ff665,show all documents
166,0.110,3,🫥,1,0.277,3.90,✅,0.290,3.60,✅,0.677,7.49,87.95,mobile_275415f1-ade1-4210-9e92-8f998a671c96,show more file types
167,0.110,3,🫥,1,0.278,3.90,✅,0.467,8.24,✅,0.855,12.13,88.02,mobile_275415f1-ade1-4210-9e92-8f998a671c96,create a new folder
168,0.109,3,🫥,1,0.277,3.90,❌,0.449,8.24,❌,0.835,12.14,87.50,mobile_275415f1-ade1-4210-9e92-8f998a671c96,display recent opened files
169,0.108,4,☑️,0,0.276,4.05,✅,0.000,0.00,✅,0.384,4.05,87.57,mobile_1c87bbf1-afc8-4fe3-aaf0-d3bacc52a2bf,Stop the countdown
170,0.109,4,☑️,0,0.281,4.05,✅,0.000,0.00,✅,0.390,4.05,87.65,mobile_1c87bbf1-afc8-4fe3-aaf0-d3bacc52a2bf,start the stopwatch
171,0.109,6,☑️,0,0.287,4.12,✅,0.000,0.00,✅,0.396,4.12,87.72,mobile_4fafbd92-0af2-4b02-9cf8-952227fd9993,Turn on the alarm for 3:15
172,0.108,6,☑️,0,0.285,4.11,✅,0.000,0.00,✅,0.392,4.11,87.79,mobile_4fafbd92-0af2-4b02-9cf8-952227fd9993,turn off the opened clock at 6
173,0.108,6,🫥,1,0.285,4.12,✅,0.269,2.87,✅,0.661,6.99,87.86,mobile_4fafbd92-0af2-4b02-9cf8-952227fd9993,show details of 7:30 clock alarm
174,0.111,2,☑️,0,0.274,3.90,✅,0.000,0.00,✅,0.385,3.90,87.93,mobile_2b80c9bf-0040-492e-8dca-d81cc9042b5a,set reminder for created task
175,0.110,2,☑️,0,0.270,3.91,✅,0.000,0.00,✅,0.380,3.91,88.00,mobile_2b80c9bf-0040-492e-8dca-d81cc9042b5a,tap done to set this subtask
176,0.110,2,🫥,1,0.268,3.89,✅,0.455,8.58,✅,0.833,12.47,88.07,mobile_2b80c9bf-0040-492e-8dca-d81cc9042b5a,fold input method
177,0.108,2,🫥,1,0.271,4.03,✅,0.330,4.67,✅,0.709,8.70,88.14,mobile_caaf7ec0-c1ee-4edc-8b42-37bfa11c4dd3,create new task
178,0.108,2,☑️,0,0.271,4.02,✅,0.000,0.00,✅,0.379,4.02,88.20,mobile_caaf7ec0-c1ee-4edc-8b42-37bfa11c4dd3,open settings
179,0.108,2,🫥,1,0.273,4.02,✅,0.500,9.25,❌,0.881,13.27,87.71,mobile_caaf7ec0-c1ee-4edc-8b42-37bfa11c4dd3,open notes
180,0.108,3,🫥,1,0.278,3.91,✅,0.362,5.83,✅,0.748,9.74,87.78,mobile_2a2da2de-b63c-46e0-88cf-f88ef8aec6e0,set font size to small
181,0.108,3,🫥,1,0.278,3.91,✅,0.375,5.82,✅,0.761,9.73,87.85,mobile_2a2da2de-b63c-46e0-88cf-f88ef8aec6e0,use huge font size
182,0.116,2,🫥,1,0.271,4.04,✅,0.481,9.28,✅,0.868,13.33,87.91,mobile_165687dd-c6c2-4f44-a84d-3e9a2af95ffe,display calendar in week view
183,0.108,2,☑️,0,0.272,4.04,✅,0.000,0.00,✅,0.379,4.04,87.98,mobile_165687dd-c6c2-4f44-a84d-3e9a2af95ffe,display calendar by days
184,0.124,2,🫥,1,0.275,3.92,✅,0.308,4.16,✅,0.708,8.08,88.04,mobile_414acb14-025e-462a-9d1c-6410df04db7f,display 15-day weather forecast
185,0.114,2,☑️,0,0.270,3.89,✅,0.000,0.00,✅,0.383,3.89,88.11,mobile_414acb14-025e-462a-9d1c-6410df04db7f,open options
186,0.115,2,☑️,0,0.269,3.89,✅,0.000,0.00,✅,0.385,3.89,88.17,mobile_414acb14-025e-462a-9d1c-6410df04db7f,add new city
187,0.112,4,☑️,0,0.291,4.07,✅,0.000,0.00,✅,0.403,4.07,88.24,mobile_d17dfa46-fc13-4f38-9261-3f9f7171067b,turn on airplane mode
188,0.112,4,☑️,0,0.280,4.07,✅,0.000,0.00,✅,0.393,4.07,88.30,mobile_d17dfa46-fc13-4f38-9261-3f9f7171067b,turn off nfc
189,0.110,4,🫥,1,0.284,4.07,✅,0.404,6.74,✅,0.798,10.80,88.36,mobile_d17dfa46-fc13-4f38-9261-3f9f7171067b,set default wallent
190,0.126,3,☑️,0,0.285,3.91,✅,0.000,0.00,✅,0.411,3.91,88.42,mobile_0dcb6532-d25e-4bb0-8746-ccdbec623bce,scan qr code
191,0.125,3,☑️,0,0.278,3.90,✅,0.000,0.00,✅,0.404,3.90,88.48,mobile_0dcb6532-d25e-4bb0-8746-ccdbec623bce,sign out
192,0.110,4,☑️,0,0.283,4.08,✅,0.000,0.00,✅,0.393,4.08,88.54,mobile_6e08b93a-9271-40ac-9dd0-f1f95f8d8675,switch on auto-rotate screen
193,0.111,4,🫥,2,0.286,4.08,✅,0.415,6.77,✅,0.811,10.85,88.60,mobile_6e08b93a-9271-40ac-9dd0-f1f95f8d8675,view control center and status bar
194,0.109,4,☑️,0,0.283,4.07,✅,0.000,0.00,✅,0.392,4.07,88.66,mobile_6e08b93a-9271-40ac-9dd0-f1f95f8d8675,check fonts settings
195,0.117,2,🫥,1,0.275,4.05,✅,0.521,10.35,✅,0.913,14.40,88.72,mobile_d52263df-908a-4f53-93de-b51d691ad995,use dark mode display
196,0.204,2,🫥,2,0.388,4.05,✅,0.678,14.46,❌,1.271,18.51,88.27,mobile_d52263df-908a-4f53-93de-b51d691ad995,change dark mode options
197,0.111,2,☑️,0,0.272,4.04,✅,0.000,0.00,✅,0.383,4.04,88.32,mobile_d52263df-908a-4f53-93de-b51d691ad995,return upper page
198,0.110,3,☑️,0,0.271,3.91,✅,0.000,0.00,✅,0.381,3.91,88.38,mobile_3607031a-15bb-48cd-a2e6-84a7ce433173,view display options
199,0.110,3,🫥,2,0.273,3.92,✅,0.583,11.81,✅,0.966,15.73,88.44,mobile_3607031a-15bb-48cd-a2e6-84a7ce433173,open vpn options
200,0.107,3,🫥,2,0.272,3.92,✅,0.574,11.83,✅,0.952,15.75,88.50,mobile_f61ea850-a79c-41b8-891f-8c55326e1530,set date and time
201,0.108,3,🫥,1,0.272,3.92,❌,0.359,5.56,❌,0.738,9.49,88.06,mobile_f61ea850-a79c-41b8-891f-8c55326e1530,view quick control ball
202,0.109,5,🫥,1,0.281,3.94,✅,0.267,3.09,❌,0.656,7.04,87.62,mobile_04545977-3f36-4a33-a787-72ec8a9dd4f2,check battery options
203,0.109,5,☑️,0,0.279,3.96,❌,0.000,0.00,❌,0.388,3.96,87.19,mobile_04545977-3f36-4a33-a787-72ec8a9dd4f2,change battery setting for better performance
204,0.109,5,☑️,0,0.280,3.95,✅,0.000,0.00,✅,0.389,3.95,87.25,mobile_04545977-3f36-4a33-a787-72ec8a9dd4f2,open ultra battery saver
205,0.106,2,🫥,1,0.278,3.91,✅,0.417,7.71,❌,0.801,11.62,86.83,mobile_3b5ab7d3-8e84-4be1-83ba-801882db294b,clear the result
206,0.106,2,☑️,0,0.272,3.91,✅,0.000,0.00,✅,0.378,3.91,86.89,mobile_3b5ab7d3-8e84-4be1-83ba-801882db294b,enter 5
207,0.106,2,☑️,0,0.269,3.93,✅,0.000,0.00,✅,0.375,3.93,86.96,mobile_3b5ab7d3-8e84-4be1-83ba-801882db294b,Tap the division sign in the calculator
208,0.106,2,☑️,0,0.271,4.06,✅,0.000,0.00,✅,0.378,4.06,87.02,mobile_4c2df330-55c0-4272-80c0-6e2cf8f96903,"click ""done"""
209,0.145,2,☑️,0,0.276,3.90,✅,0.000,0.00,✅,0.421,3.90,87.08,mobile_cebc7e07-8ab3-4232-acdd-aa2884af2e66,open gmail
210,0.139,2,☑️,0,0.269,3.92,✅,0.000,0.00,✅,0.409,3.92,87.14,mobile_cebc7e07-8ab3-4232-acdd-aa2884af2e66,add new email account
211,0.267,4,☑️,0,0.284,3.94,✅,0.000,0.00,✅,0.550,3.94,87.20,mobile_569a4f5a-01f0-4386-89ba-768e1f88d38e,check week summary
212,0.133,4,🫥,1,0.286,3.94,✅,0.434,7.73,✅,0.854,11.66,87.26,mobile_569a4f5a-01f0-4386-89ba-768e1f88d38e,display wearing device
213,0.127,2,🫥,1,0.276,4.05,✅,0.405,6.77,✅,0.809,10.82,87.32,mobile_9aa2c4bf-aa52-43ed-ac30-f22798c14668,open instagram
214,0.127,2,☑️,0,0.277,4.06,✅,0.000,0.00,✅,0.404,4.06,87.38,mobile_9aa2c4bf-aa52-43ed-ac30-f22798c14668,open github app
215,0.128,2,🫥,1,0.279,4.06,✅,0.404,6.79,✅,0.810,10.84,87.44,mobile_9aa2c4bf-aa52-43ed-ac30-f22798c14668,open message app
216,0.115,6,☑️,0,0.280,3.97,✅,0.000,0.00,✅,0.394,3.97,87.50,mobile_88c8a639-8051-4241-943c-41104b363caa,start outdoor running
217,0.116,6,🫥,1,0.283,3.97,✅,0.288,3.36,✅,0.687,7.32,87.56,mobile_88c8a639-8051-4241-943c-41104b363caa,record outdoor cycle
218,0.115,6,🫥,4,0.285,3.98,✅,0.531,10.16,❌,0.931,14.14,87.16,mobile_88c8a639-8051-4241-943c-41104b363caa,start threadmill recordding
219,0.108,4,🫥,1,0.286,4.09,✅,0.316,4.17,✅,0.709,8.26,87.21,mobile_df5320bc-03e4-4e4e-bcc2-67cfd9b344ec,show week steps recordings
220,0.125,4,🫥,1,0.290,4.10,✅,0.334,4.18,❌,0.750,8.28,86.82,mobile_df5320bc-03e4-4e4e-bcc2-67cfd9b344ec,show steps recording by month
221,0.168,4,☑️,0,0.294,4.09,✅,0.000,0.00,✅,0.462,4.09,86.88,mobile_df5320bc-03e4-4e4e-bcc2-67cfd9b344ec,return to upper page
222,0.111,5,☑️,0,0.297,3.96,✅,0.000,0.00,✅,0.408,3.96,86.94,mobile_e277f0fc-fe73-4304-9d8e-2bc4613e1986,check sleeping time
223,0.111,5,☑️,0,0.294,3.96,✅,0.000,0.00,✅,0.405,3.96,87.00,mobile_e277f0fc-fe73-4304-9d8e-2bc4613e1986,Monitor calorie expenditure
224,0.113,5,☑️,0,0.295,3.97,✅,0.000,0.00,✅,0.407,3.97,87.05,mobile_e277f0fc-fe73-4304-9d8e-2bc4613e1986,switch to workout page
225,0.111,4,🫥,1,0.290,3.95,✅,0.359,5.30,✅,0.759,9.25,87.11,mobile_f515dd3d-41eb-4fe9-b74a-ac66e60a8b75,tap continue button
226,0.112,4,🫥,1,0.288,3.94,✅,0.371,5.29,✅,0.771,9.22,87.17,mobile_f515dd3d-41eb-4fe9-b74a-ac66e60a8b75,cancel
227,0.112,5,☑️,0,0.287,3.96,✅,0.000,0.00,✅,0.399,3.96,87.22,mobile_63949247-1001-4d4e-9f49-81c85f7308e8,click power on
228,0.111,5,☑️,0,0.303,3.96,✅,0.000,0.00,✅,0.414,3.96,87.28,mobile_63949247-1001-4d4e-9f49-81c85f7308e8,change mode
229,0.109,5,☑️,0,0.285,3.97,✅,0.000,0.00,✅,0.395,3.97,87.34,mobile_63949247-1001-4d4e-9f49-81c85f7308e8,raise air conditioner temperature
230,0.111,4,🫥,3,0.296,4.09,✅,0.657,13.17,❌,1.064,17.26,86.96,mobile_6bbaccfd-a0c4-49d3-a68d-050210ff5a6e,check battery usage
231,0.112,4,🫥,1,0.615,4.13,✅,0.419,7.18,✅,1.146,11.31,87.01,mobile_6bbaccfd-a0c4-49d3-a68d-050210ff5a6e,"set fingerprints, face data and screen lock option..."
232,0.111,4,🫥,2,0.287,4.11,✅,0.359,5.34,✅,0.757,9.44,87.07,mobile_6bbaccfd-a0c4-49d3-a68d-050210ff5a6e,set mi ai voice assistant
233,0.112,3,☑️,0,0.284,3.94,✅,0.000,0.00,✅,0.396,3.94,87.12,mobile_182c66dd-3836-4bce-909f-166abd570fde,open user profile
234,0.113,3,🫥,1,0.303,3.94,✅,0.308,3.63,✅,0.725,7.57,87.18,mobile_182c66dd-3836-4bce-909f-166abd570fde,search setttings
235,0.113,3,🫥,1,0.286,3.94,✅,0.422,7.47,✅,0.821,11.41,87.23,mobile_182c66dd-3836-4bce-909f-166abd570fde,turn off bluetooth
236,0.144,2,🫥,1,0.275,3.93,✅,0.377,6.52,✅,0.796,10.45,87.29,mobile_6a0ba48e-0ed8-44ba-a40b-adbbdba2dee4,display unread massages
237,0.142,2,🫥,1,0.271,3.93,✅,0.379,6.53,✅,0.792,10.46,87.34,mobile_6a0ba48e-0ed8-44ba-a40b-adbbdba2dee4,display flagged massages
238,0.142,2,☑️,0,0.270,3.94,✅,0.000,0.00,✅,0.412,3.94,87.39,mobile_6a0ba48e-0ed8-44ba-a40b-adbbdba2dee4,tap to search messages
239,0.115,3,☑️,0,0.287,3.95,✅,0.000,0.00,✅,0.402,3.95,87.45,mobile_ee2362d3-17a7-479e-9f99-fd8378aae866,turn off wifi
240,0.127,3,🫥,1,0.282,3.95,✅,0.458,8.82,✅,0.867,12.78,87.50,mobile_ee2362d3-17a7-479e-9f99-fd8378aae866,change phone settings 
241,0.116,2,☑️,0,0.270,3.93,✅,0.000,0.00,✅,0.386,3.93,87.55,mobile_f53240ec-a09f-4857-9ca1-db5fb79455c3,open calculator
242,0.116,2,☑️,0,0.284,3.93,✅,0.000,0.00,✅,0.400,3.93,87.60,mobile_f53240ec-a09f-4857-9ca1-db5fb79455c3,open settings
243,0.121,2,☑️,0,0.285,3.93,✅,0.000,0.00,✅,0.406,3.93,87.65,mobile_f53240ec-a09f-4857-9ca1-db5fb79455c3,open notes
244,0.213,2,☑️,0,0.328,5.69,✅,0.000,0.00,✅,0.541,5.69,87.70,mobile_b9537ded-e771-43c7-bab4-1db747625d87,open automation
245,0.221,2,🫥,1,0.332,5.70,✅,0.515,9.66,✅,1.068,15.36,87.76,mobile_49f35b0d-59ea-46f9-b215-0e0e70d06a9a,add a room
246,0.155,3,🫥,1,0.341,5.74,✅,0.283,2.95,✅,0.778,8.69,87.80,mobile_4e17db8b-85df-4278-ba0a-9f03e5ca85da,turn on the dark appearance dims wallpaper
247,0.132,4,🫥,1,0.334,5.43,✅,0.510,9.69,✅,0.977,15.12,87.85,mobile_6ded1777-d4c3-485f-b28a-7754e0e9c024,open only draw with apple pencil mode
248,0.132,4,🫥,1,0.337,5.42,✅,0.511,9.69,✅,0.980,15.10,87.90,mobile_6ded1777-d4c3-485f-b28a-7754e0e9c024,switch to show link attributes
249,0.262,2,🫥,2,0.320,5.38,✅,1.051,24.96,❌,1.634,30.34,87.55,mobile_124e877d-d29c-45e4-bdc2-cbc729c702c9,open memo app
250,0.168,2,🫥,1,0.321,5.72,✅,0.544,11.30,✅,1.032,17.02,87.60,mobile_f859f69e-20c1-4630-9435-e959c43590d5,add a new tab
251,0.154,2,🫥,1,0.322,5.71,✅,0.551,11.30,✅,1.026,17.02,87.65,mobile_f859f69e-20c1-4630-9435-e959c43590d5,refresh the page
252,0.149,2,☑️,0,0.321,5.73,✅,0.000,0.00,✅,0.470,5.73,87.70,mobile_f859f69e-20c1-4630-9435-e959c43590d5,go to user account page
253,0.162,2,🫥,1,0.323,5.72,✅,0.530,10.50,✅,1.015,16.21,87.75,mobile_41aa1b5c-01f3-455d-807e-9c90c705dd1f,clear browsing data
254,0.152,2,☑️,0,0.322,5.72,✅,0.000,0.00,✅,0.473,5.72,87.80,mobile_41aa1b5c-01f3-455d-807e-9c90c705dd1f,open downloads page
255,0.164,2,☑️,0,0.317,5.40,❌,0.000,0.00,❌,0.481,5.40,87.45,mobile_95b2eec8-7804-474f-bf47-7c13a7a02595,open a new private window
256,0.151,2,☑️,0,0.325,5.40,✅,0.000,0.00,✅,0.476,5.40,87.50,mobile_663faca5-79a3-48f6-b64c-9f7989292d17,explore the new menu
257,0.198,2,🫥,1,0.322,5.72,✅,0.359,5.38,✅,0.879,11.10,87.55,mobile_9d30c621-fe06-4f6a-86e7-6664cc3bb566,check device location
258,0.189,2,☑️,0,0.321,5.73,❌,0.000,0.00,❌,0.510,5.73,87.21,mobile_d3771dd7-e526-4b87-8971-247ca5582e85,stop sharing my location
259,0.158,2,🫥,2,0.335,5.43,✅,1.032,25.20,❌,1.524,30.62,86.87,mobile_f5b4ae93-55f8-4f0c-9c9e-dda8685c37b5,create a new workbook for total a list
260,0.149,2,🫥,1,0.556,5.73,✅,0.571,12.20,✅,1.276,17.92,86.92,mobile_63cdee53-9026-46c9-9b69-639452091dcc,add storage account
261,0.132,2,☑️,0,0.321,5.74,❌,0.000,0.00,❌,0.453,5.74,86.59,mobile_63cdee53-9026-46c9-9b69-639452091dcc,go to user account page
262,0.278,2,☑️,0,0.335,5.74,✅,0.000,0.00,✅,0.613,5.74,86.64,mobile_043c3a5e-c12c-4991-bb7f-676c617b2f9b,open the entertainment menu
263,0.265,2,🫥,1,0.321,5.74,✅,0.570,12.23,❌,1.157,17.97,86.31,mobile_3d3cacff-2019-4577-9395-21b45a0c548b,remove maps from the desktop
264,0.288,2,🫥,2,0.324,5.43,✅,1.071,25.29,✅,1.683,30.72,86.36,mobile_6778b255-174f-401e-ab98-b5bbe554a141,add a new app to the desktop
265,0.286,2,🫥,1,0.322,5.42,✅,0.555,10.57,❌,1.163,15.98,86.04,mobile_6778b255-174f-401e-ab98-b5bbe554a141,remove chrome from the desktop
266,0.137,5,🫥,1,0.362,5.78,❌,0.294,3.52,❌,0.793,9.30,85.71,mobile_e3f2b3d7-4c56-44ba-af3f-ae885a3e0dbb,disable icloud photos
267,0.160,3,🫥,1,0.348,5.78,✅,0.624,13.15,✅,1.132,18.93,85.77,mobile_08782c89-65da-43ca-8eb6-8ca71e9f8ea7,remove the camera from the included controls
268,0.135,3,☑️,0,0.343,5.77,❌,0.000,0.00,❌,0.478,5.77,85.45,mobile_08782c89-65da-43ca-8eb6-8ca71e9f8ea7,add alarm to the included controls
269,0.136,2,🫥,1,0.289,4.26,✅,0.431,7.65,✅,0.856,11.92,85.50,mobile_c784c6c1-0203-4193-8131-f34cef16d400,adjust display & brightness setting
270,0.116,2,🫥,1,0.293,4.26,✅,0.689,14.71,✅,1.098,18.97,85.56,mobile_1152be83-7090-45b9-9465-e5acc02d867d,switch to dark appearance theme
271,0.117,2,🫥,1,0.285,4.27,✅,0.663,14.73,✅,1.066,19.00,85.61,mobile_1152be83-7090-45b9-9465-e5acc02d867d,adjust the brightness in the bar
272,0.140,3,☑️,0,0.280,4.16,✅,0.000,0.00,✅,0.419,4.16,85.66,mobile_d8a299f2-f432-4bef-abc4-5a005cf4c40f,manage the password for aliyunidaas.com
273,0.143,2,🫥,2,0.272,4.13,✅,0.798,18.66,❌,1.213,22.79,85.35,mobile_45d2f820-fe5f-4e31-9554-34156e66179c,modify the notification permission for google maps
274,0.113,3,☑️,0,0.296,4.29,✅,0.000,0.00,✅,0.409,4.29,85.40,mobile_f45826c5-d796-46cf-b0c3-c4095206735c,allow google maps to send notifications
275,0.116,2,🫥,1,0.285,4.26,✅,0.565,11.63,✅,0.967,15.89,85.45,mobile_a2719c16-da39-48ea-8c1c-1239414f0778,disable automatic app updates
276,0.113,2,🫥,1,0.274,4.11,✅,0.588,12.50,✅,0.975,16.61,85.51,mobile_63adf499-326a-44b4-8b3f-0ecd1935745e,check health details
277,0.141,2,☑️,0,0.282,4.14,✅,0.000,0.00,✅,0.423,4.14,85.56,mobile_18b2ff57-9a0c-48e6-a754-de728b5a0479,add a new place to favourities
278,0.140,2,🫥,1,0.272,4.13,✅,0.611,12.53,✅,1.022,16.66,85.61,mobile_18b2ff57-9a0c-48e6-a754-de728b5a0479,search for a place or address
279,0.151,3,☑️,0,0.302,4.29,❌,0.000,0.00,❌,0.453,4.29,85.30,mobile_acb1d28f-ddf9-4098-b749-51bf6600705b,switch the map style to satellite
280,0.131,2,☑️,0,0.278,4.11,✅,0.000,0.00,✅,0.409,4.11,85.36,mobile_105a4c27-8695-4555-9121-0dd7cacb5ec2,tap to continue
281,0.114,2,☑️,0,0.278,4.12,✅,0.000,0.00,✅,0.392,4.12,85.41,mobile_2e804aba-afb6-48a0-ad55-2f242652eb33,close the notification box
282,0.119,3,🫥,1,0.285,4.14,✅,0.364,5.24,❌,0.768,9.38,85.11,mobile_d97a442a-6912-4a26-9387-fe5dee9b3d0a,choose watercolor brush style
283,0.129,3,☑️,0,0.280,4.13,✅,0.000,0.00,✅,0.409,4.13,85.16,mobile_d97a442a-6912-4a26-9387-fe5dee9b3d0a,adjust the color
284,0.121,2,🫥,1,0.284,4.11,✅,0.691,15.29,✅,1.096,19.40,85.21,mobile_7e2e6586-4c35-414e-8608-863b7ceba272,insert from link
285,0.143,2,☑️,0,0.274,4.12,✅,0.000,0.00,✅,0.417,4.12,85.26,mobile_d3865883-8214-4bff-9834-13987580abe8,add a circle
286,0.112,2,🫥,1,0.283,4.12,✅,0.497,10.03,✅,0.892,14.15,85.31,mobile_8c25fc62-ca0e-4280-ae68-9146b66089b2,learn more about privacy
287,0.143,2,🫥,1,0.296,4.27,✅,0.359,5.24,❌,0.797,9.51,85.02,mobile_6cc4e2c1-b5bd-4347-bee4-63a1217d052c,input through voice recognition
288,0.143,2,☑️,0,0.288,4.26,✅,0.000,0.00,✅,0.431,4.26,85.07,mobile_6cc4e2c1-b5bd-4347-bee4-63a1217d052c,check coverage
289,0.128,2,☑️,0,0.299,4.27,✅,0.000,0.00,✅,0.426,4.27,85.12,mobile_4e55ce53-bc82-44c3-a81a-8282f55ec4c9,close the recommended box
290,0.128,2,☑️,0,0.544,4.29,✅,0.000,0.00,✅,0.672,4.29,85.17,mobile_4e55ce53-bc82-44c3-a81a-8282f55ec4c9,check the information about airtag
291,0.138,2,🫥,1,0.286,4.27,✅,0.283,3.36,✅,0.707,7.64,85.22,mobile_f6f4bdd0-01eb-41a4-b696-42fcc45097b6,show the location list
292,0.138,2,☑️,0,0.298,4.30,❌,0.000,0.00,❌,0.437,4.30,84.93,mobile_f6f4bdd0-01eb-41a4-b696-42fcc45097b6,"choose the place called ""香港广场"""
293,0.113,4,🫥,1,0.290,4.14,✅,0.432,7.70,✅,0.835,11.84,84.98,mobile_73a629d6-0fe4-4663-a727-d3b78ec52175,search destinations
294,0.113,3,☑️,0,0.293,4.29,✅,0.000,0.00,✅,0.406,4.29,85.03,mobile_c81bb812-68b7-4557-95bb-1260f3b787f1,add a new waypoint
295,0.112,3,🫥,1,0.304,4.28,✅,0.333,4.59,✅,0.749,8.88,85.08,mobile_c81bb812-68b7-4557-95bb-1260f3b787f1,input the destination
296,0.140,3,☑️,0,0.281,4.14,✅,0.000,0.00,✅,0.421,4.14,85.14,mobile_c9c47c96-1b18-45dd-8e88-f0b48c54617d,check the wallet
297,0.132,2,🫥,1,0.274,4.12,✅,0.462,8.48,✅,0.868,12.60,85.19,mobile_12280689-e3e1-4a36-ba3c-709acb969b32,continue with apple
298,0.153,2,☑️,0,0.281,4.13,✅,0.000,0.00,✅,0.434,4.13,85.23,mobile_a2cdff8e-fd92-46fb-8d83-228f2116c087,apply the smooth filter
299,0.154,2,☑️,0,0.281,4.13,✅,0.000,0.00,✅,0.435,4.13,85.28,mobile_a2cdff8e-fd92-46fb-8d83-228f2116c087,open additional options
300,0.122,3,🫥,1,0.295,4.29,✅,0.560,11.34,✅,0.977,15.62,85.33,mobile_641346f3-50a8-4235-8a74-e0c9ee49136f,crop the photo
301,0.125,3,🫥,1,0.295,4.29,✅,0.560,11.34,✅,0.979,15.63,85.38,mobile_641346f3-50a8-4235-8a74-e0c9ee49136f,open a brush
302,0.123,2,☑️,0,0.284,4.13,✅,0.000,0.00,✅,0.407,4.13,85.43,mobile_6126718c-82ef-4406-8d00-3d4bf7a414c4,view personal information
303,0.120,2,☑️,0,0.283,4.14,✅,0.000,0.00,✅,0.402,4.14,85.48,mobile_6126718c-82ef-4406-8d00-3d4bf7a414c4,show more about workouts
304,0.121,4,🫥,1,0.287,4.17,✅,0.329,4.61,✅,0.737,8.78,85.53,mobile_b4a1ee35-b1b3-4ea6-bd37-22e326ea8620,view exercise log on map
305,0.114,2,☑️,0,0.275,4.13,✅,0.000,0.00,✅,0.390,4.13,85.57,mobile_8632848c-d399-4879-bb2e-c06478785a16,close the splits
306,0.117,2,☑️,0,0.278,4.14,✅,0.000,0.00,✅,0.395,4.14,85.62,mobile_3475adcf-26f0-43b9-8758-cae8601d33d1,open exercise log calendar
307,0.113,2,☑️,0,0.290,4.29,✅,0.000,0.00,✅,0.403,4.29,85.67,mobile_35047157-7939-4491-ab8d-4d1da41acc74,set to repeat every monday
308,0.122,7,🫥,1,0.309,4.39,❌,0.288,3.41,❌,0.719,7.80,85.39,mobile_39d89f43-f1df-40b7-a0db-eef4bc2521d0,turn on an alarm for 7:40
309,0.112,2,☑️,0,0.282,4.15,✅,0.000,0.00,✅,0.394,4.15,85.44,mobile_268e1246-9870-47c7-a702-cadd117e11d4,sign up to zoom 
310,0.114,4,☑️,0,0.297,4.34,✅,0.000,0.00,✅,0.411,4.34,85.48,mobile_085c4ffc-e423-4798-a09f-702ded3d1987,switch on hide sensitive information when switchin...
311,0.113,2,☑️,0,0.274,4.13,✅,0.000,0.00,✅,0.387,4.13,85.53,mobile_0b63fa69-df33-442d-b7ea-9393432f71ea,adjust accessibility settings
312,0.126,4,🫥,3,0.306,4.34,✅,0.696,15.58,❌,1.128,19.92,85.26,mobile_9f4d72cc-149d-4613-b19a-759ee34d8a47,close the tab with the apple official website
313,0.126,4,☑️,0,0.297,4.31,✅,0.000,0.00,✅,0.423,4.31,85.30,mobile_9f4d72cc-149d-4613-b19a-759ee34d8a47,serch tab
314,0.118,3,🫥,1,0.293,4.32,✅,0.539,11.42,✅,0.950,15.74,85.35,mobile_76682c29-846c-4673-be8b-ebfbe0e5c9a9,add a new empty tab group
315,0.116,3,🫥,1,0.295,4.33,✅,0.364,5.30,✅,0.775,9.63,85.40,mobile_79ef2997-19a2-4520-8647-b1ad1fc00ce8,search for the privacy report of a website
316,0.120,2,🫥,1,0.292,4.13,✅,0.685,15.07,✅,1.098,19.20,85.44,mobile_e8581791-9dca-4a18-a9c3-0ddd782aaf96,open documents
317,0.120,2,🫥,1,0.273,4.15,✅,0.275,3.08,✅,0.669,7.23,85.49,mobile_bdefb309-2aeb-4b5f-920b-1e9952f1ddfe,back to previous page
318,0.109,4,🫥,1,0.277,4.05,✅,0.359,5.78,✅,0.746,9.83,85.53,mobile_bed2b5e8-9102-405e-80f3-85207ed1bbf0,open high resolution 50mp mode
319,0.108,4,🫥,1,0.273,4.02,✅,0.356,5.75,✅,0.737,9.77,85.58,mobile_bed2b5e8-9102-405e-80f3-85207ed1bbf0,take short video
320,0.106,4,☑️,0,0.290,4.18,✅,0.000,0.00,✅,0.396,4.18,85.62,mobile_97ca06a1-8d37-4ece-b7ed-79517c61da2f,back to upper page
321,0.107,4,🫥,2,0.284,4.20,✅,0.434,8.10,✅,0.824,12.31,85.67,mobile_97ca06a1-8d37-4ece-b7ed-79517c61da2f,display more details of the ai life app
